,product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
1024,B07VX71FZP,"Amazon Brand - Solimo 2000/1000 Watts Room Heater with Adjustable Thermostat (ISI certified, White colour, Ideal for small to medium room/area)",Home&kitchen,1199.0,2000.0,40.0,4.0,18543
1025,B07NCKMXVZ,"StyleHouse Lint Remover for Woolen Clothes, Electric Lint Remover, Best Lint Shaver for Clothes",Home&kitchen,455.0,999.0,54.0,4.1,3578
1026,B0B61DSF17,beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale | Weight Machine With Back light LCD Display | White |10 kg | 2 Year Warranty |,Home&kitchen,199.0,1999.0,90.0,3.7,2031
1029,B07VNFP3C2,"Prestige 1.5 Litre Kettle 1500-watts, Red",Home&kitchen,749.0,1245.0,40.0,3.9,31783
1030,B00LUGTJGO,Bajaj RHX-2 800-Watt Room Heater (White),Home&kitchen,1399.0,1549.0,10.0,3.9,2602
1033,B00NW4UWN6,Prestige PKGSS 1.7L 1500W Electric Kettle (Stainless Steel),Home&kitchen,1043.0,1345.0,22.0,3.8,15592
1034,B01NCVJMKX,"SHOPTOSHOP Electric Lint Remover, Best Lint Shaver for Clothes,Lint Remover for Woolen Clothes ,Lint Remover for Sweaters",Home&kitchen,499.0,999.0,50.0,4.1,4859
1035,B00O24PUO6,Orpat OEH-1260 2000-Watt Fan Heater (Grey),Home&kitchen,1464.0,1650.0,11.0,4.1,14120
1036,B07GXPDLYQ,PRO365 Indo Mocktails/Coffee Foamer/Cappuccino/Lemonade/Milk Frother (6 Months Warranty),Home&kitchen,249.0,499.0,50.0,3.3,8427
1037,B01C8P29N0,"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",Home&kitchen,625.0,1400.0,55.0,4.2,23316
1038,B08KDBLMQP,"Croma 500W Mixer Grinder with 3 Stainless Steel Leak-proof Jars, 3 speed & Pulse function, 2 years warranty (CRAK4184, White & Purple)",Home&kitchen,1290.0,2500.0,48.0,4.0,6530
